actividad	sujeto	TimeDomain_BodyAccelerometer_Mean_X	TimeDomain_BodyAccelerometer_Mean_X.1	TimeDomain_BodyAccelerometer_Mean_X.2	TimeDomain_BodyAccelerometer_Mean_X.3	TimeDomain_BodyAccelerometer_Mean_X.4	TimeDomain_BodyAccelerometer_Mean_X.5	actividad.1	actividad.2	actividad.3	actividad.4	actividad.5	actividad.6	actividad.7	actividad.8	actividad.9	actividad.10	actividad.11	actividad.12	actividad.13	actividad.14	actividad.15	actividad.16	actividad.17	actividad.18	actividad.19	actividad.20	actividad.21	actividad.22	actividad.23	actividad.24	actividad.25	actividad.26	actividad.27	actividad.28	actividad.29	actividad.30	actividad.31	actividad.32	actividad.33	actividad.34	TimeDomain_BodyAccelerometer_Mean_X.6	TimeDomain_BodyAccelerometer_Mean_X.7	TimeDomain_BodyAccelerometer_Mean_X.8	TimeDomain_BodyAccelerometer_Mean_X.9	TimeDomain_BodyAccelerometer_Mean_X.10	TimeDomain_BodyAccelerometer_Mean_X.11	actividad.35	actividad.36	actividad.37	actividad.38	actividad.39	actividad.40	actividad.41	actividad.42	actividad.43	actividad.44	actividad.45	actividad.46	actividad.47	actividad.48	actividad.49	actividad.50	actividad.51	actividad.52	actividad.53	actividad.54	actividad.55	actividad.56	actividad.57	actividad.58	actividad.59	actividad.60	actividad.61	actividad.62	actividad.63	actividad.64	actividad.65	actividad.66	actividad.67
WALKING_UPSTAIRS	20	0.252098317	0.252098317	0.252098317	0.252098317	0.252098317	0.252098317	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0.252098317	0.252098317	0.252098317	0.252098317	0.252098317	0.252098317	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
LAYING	21	0.271325472	0.271325472	0.271325472	0.271325472	0.271325472	0.271325472	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	0.271325472	0.271325472	0.271325472	0.271325472	0.271325472	0.271325472	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
SITTING	21	0.277539617	0.277539617	0.277539617	0.277539617	0.277539617	0.277539617	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	0.277539617	0.277539617	0.277539617	0.277539617	0.277539617	0.277539617	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
STANDING	21	0.276952243	0.276952243	0.276952243	0.276952243	0.276952243	0.276952243	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	0.276952243	0.276952243	0.276952243	0.276952243	0.276952243	0.276952243	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
WALKING	21	0.279183527	0.279183527	0.279183527	0.279183527	0.279183527	0.279183527	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.279183527	0.279183527	0.279183527	0.279183527	0.279183527	0.279183527	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
WALKING_DOWNSTAIRS	21	0.30146102	0.30146102	0.30146102	0.30146102	0.30146102	0.30146102	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	0.30146102	0.30146102	0.30146102	0.30146102	0.30146102	0.30146102	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
WALKING_UPSTAIRS	21	0.265194545	0.265194545	0.265194545	0.265194545	0.265194545	0.265194545	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0.265194545	0.265194545	0.265194545	0.265194545	0.265194545	0.265194545	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
LAYING	22	0.279959721	0.279959721	0.279959721	0.279959721	0.279959721	0.279959721	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	0.279959721	0.279959721	0.279959721	0.279959721	0.279959721	0.279959721	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
SITTING	22	0.273583823	0.273583823	0.273583823	0.273583823	0.273583823	0.273583823	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	0.273583823	0.273583823	0.273583823	0.273583823	0.273583823	0.273583823	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
STANDING	22	0.279053862	0.279053862	0.279053862	0.279053862	0.279053862	0.279053862	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	0.279053862	0.279053862	0.279053862	0.279053862	0.279053862	0.279053862	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
WALKING	22	0.27886459	0.27886459	0.27886459	0.27886459	0.27886459	0.27886459	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.27886459	0.27886459	0.27886459	0.27886459	0.27886459	0.27886459	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
WALKING_DOWNSTAIRS	22	0.284458964	0.284458964	0.284458964	0.284458964	0.284458964	0.284458964	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	0.284458964	0.284458964	0.284458964	0.284458964	0.284458964	0.284458964	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
WALKING_UPSTAIRS	22	0.248391535	0.248391535	0.248391535	0.248391535	0.248391535	0.248391535	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0.248391535	0.248391535	0.248391535	0.248391535	0.248391535	0.248391535	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
LAYING	23	0.274038008	0.274038008	0.274038008	0.274038008	0.274038008	0.274038008	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	0.274038008	0.274038008	0.274038008	0.274038008	0.274038008	0.274038008	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
SITTING	23	0.273351252	0.273351252	0.273351252	0.273351252	0.273351252	0.273351252	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	0.273351252	0.273351252	0.273351252	0.273351252	0.273351252	0.273351252	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
STANDING	23	0.277899323	0.277899323	0.277899323	0.277899323	0.277899323	0.277899323	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	0.277899323	0.277899323	0.277899323	0.277899323	0.277899323	0.277899323	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
WALKING	23	0.273211884	0.273211884	0.273211884	0.273211884	0.273211884	0.273211884	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.273211884	0.273211884	0.273211884	0.273211884	0.273211884	0.273211884	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
WALKING_DOWNSTAIRS	23	0.289897411	0.289897411	0.289897411	0.289897411	0.289897411	0.289897411	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	0.289897411	0.289897411	0.289897411	0.289897411	0.289897411	0.289897411	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
WALKING_UPSTAIRS	23	0.249995171	0.249995171	0.249995171	0.249995171	0.249995171	0.249995171	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0.249995171	0.249995171	0.249995171	0.249995171	0.249995171	0.249995171	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
LAYING	24	0.272850495	0.272850495	0.272850495	0.272850495	0.272850495	0.272850495	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	0.272850495	0.272850495	0.272850495	0.272850495	0.272850495	0.272850495	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
SITTING	24	0.27347569	0.27347569	0.27347569	0.27347569	0.27347569	0.27347569	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	0.27347569	0.27347569	0.27347569	0.27347569	0.27347569	0.27347569	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
STANDING	24	0.280348884	0.280348884	0.280348884	0.280348884	0.280348884	0.280348884	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	0.280348884	0.280348884	0.280348884	0.280348884	0.280348884	0.280348884	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
WALKING	24	0.276980816	0.276980816	0.276980816	0.276980816	0.276980816	0.276980816	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.276980816	0.276980816	0.276980816	0.276980816	0.276980816	0.276980816	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
WALKING_DOWNSTAIRS	24	0.288631209	0.288631209	0.288631209	0.288631209	0.288631209	0.288631209	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	0.288631209	0.288631209	0.288631209	0.288631209	0.288631209	0.288631209	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
WALKING_UPSTAIRS	24	0.269881107	0.269881107	0.269881107	0.269881107	0.269881107	0.269881107	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0.269881107	0.269881107	0.269881107	0.269881107	0.269881107	0.269881107	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
LAYING	25	0.250791829	0.250791829	0.250791829	0.250791829	0.250791829	0.250791829	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	0.250791829	0.250791829	0.250791829	0.250791829	0.250791829	0.250791829	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
SITTING	25	0.278541482	0.278541482	0.278541482	0.278541482	0.278541482	0.278541482	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	0.278541482	0.278541482	0.278541482	0.278541482	0.278541482	0.278541482	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
STANDING	25	0.278013702	0.278013702	0.278013702	0.278013702	0.278013702	0.278013702	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	0.278013702	0.278013702	0.278013702	0.278013702	0.278013702	0.278013702	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
WALKING	25	0.278992759	0.278992759	0.278992759	0.278992759	0.278992759	0.278992759	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.278992759	0.278992759	0.278992759	0.278992759	0.278992759	0.278992759	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
WALKING_DOWNSTAIRS	25	0.291329666	0.291329666	0.291329666	0.291329666	0.291329666	0.291329666	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	0.291329666	0.291329666	0.291329666	0.291329666	0.291329666	0.291329666	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
WALKING_UPSTAIRS	25	0.277995411	0.277995411	0.277995411	0.277995411	0.277995411	0.277995411	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0.277995411	0.277995411	0.277995411	0.277995411	0.277995411	0.277995411	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
LAYING	26	0.271645865	0.271645865	0.271645865	0.271645865	0.271645865	0.271645865	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	0.271645865	0.271645865	0.271645865	0.271645865	0.271645865	0.271645865	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
SITTING	26	0.25824353	0.25824353	0.25824353	0.25824353	0.25824353	0.25824353	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	0.25824353	0.25824353	0.25824353	0.25824353	0.25824353	0.25824353	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
STANDING	26	0.281127035	0.281127035	0.281127035	0.281127035	0.281127035	0.281127035	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	0.281127035	0.281127035	0.281127035	0.281127035	0.281127035	0.281127035	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
WALKING	26	0.279264444	0.279264444	0.279264444	0.279264444	0.279264444	0.279264444	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.279264444	0.279264444	0.279264444	0.279264444	0.279264444	0.279264444	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
WALKING_DOWNSTAIRS	26	0.279284583	0.279284583	0.279284583	0.279284583	0.279284583	0.279284583	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	0.279284583	0.279284583	0.279284583	0.279284583	0.279284583	0.279284583	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
WALKING_UPSTAIRS	26	0.272691395	0.272691395	0.272691395	0.272691395	0.272691395	0.272691395	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0.272691395	0.272691395	0.272691395	0.272691395	0.272691395	0.272691395	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
LAYING	27	0.274102492	0.274102492	0.274102492	0.274102492	0.274102492	0.274102492	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	0.274102492	0.274102492	0.274102492	0.274102492	0.274102492	0.274102492	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
SITTING	27	0.273941303	0.273941303	0.273941303	0.273941303	0.273941303	0.273941303	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	0.273941303	0.273941303	0.273941303	0.273941303	0.273941303	0.273941303	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
STANDING	27	0.279566922	0.279566922	0.279566922	0.279566922	0.279566922	0.279566922	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	0.279566922	0.279566922	0.279566922	0.279566922	0.279566922	0.279566922	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
WALKING	27	0.276849485	0.276849485	0.276849485	0.276849485	0.276849485	0.276849485	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.276849485	0.276849485	0.276849485	0.276849485	0.276849485	0.276849485	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
WALKING_DOWNSTAIRS	27	0.297544188	0.297544188	0.297544188	0.297544188	0.297544188	0.297544188	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	0.297544188	0.297544188	0.297544188	0.297544188	0.297544188	0.297544188	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
WALKING_UPSTAIRS	27	0.265770254	0.265770254	0.265770254	0.265770254	0.265770254	0.265770254	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0.265770254	0.265770254	0.265770254	0.265770254	0.265770254	0.265770254	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
LAYING	28	0.275913483	0.275913483	0.275913483	0.275913483	0.275913483	0.275913483	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	0.275913483	0.275913483	0.275913483	0.275913483	0.275913483	0.275913483	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
SITTING	28	0.276977629	0.276977629	0.276977629	0.276977629	0.276977629	0.276977629	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	0.276977629	0.276977629	0.276977629	0.276977629	0.276977629	0.276977629	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
STANDING	28	0.277795069	0.277795069	0.277795069	0.277795069	0.277795069	0.277795069	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	0.277795069	0.277795069	0.277795069	0.277795069	0.277795069	0.277795069	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
WALKING	28	0.281228224	0.281228224	0.281228224	0.281228224	0.281228224	0.281228224	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.281228224	0.281228224	0.281228224	0.281228224	0.281228224	0.281228224	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
WALKING_DOWNSTAIRS	28	0.293642077	0.293642077	0.293642077	0.293642077	0.293642077	0.293642077	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	0.293642077	0.293642077	0.293642077	0.293642077	0.293642077	0.293642077	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
WALKING_UPSTAIRS	28	0.262005842	0.262005842	0.262005842	0.262005842	0.262005842	0.262005842	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0.262005842	0.262005842	0.262005842	0.262005842	0.262005842	0.262005842	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
LAYING	29	0.287295197	0.287295197	0.287295197	0.287295197	0.287295197	0.287295197	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	0.287295197	0.287295197	0.287295197	0.287295197	0.287295197	0.287295197	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
SITTING	29	0.277179978	0.277179978	0.277179978	0.277179978	0.277179978	0.277179978	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	0.277179978	0.277179978	0.277179978	0.277179978	0.277179978	0.277179978	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
STANDING	29	0.277965066	0.277965066	0.277965066	0.277965066	0.277965066	0.277965066	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	0.277965066	0.277965066	0.277965066	0.277965066	0.277965066	0.277965066	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
WALKING	29	0.271999917	0.271999917	0.271999917	0.271999917	0.271999917	0.271999917	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.271999917	0.271999917	0.271999917	0.271999917	0.271999917	0.271999917	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
WALKING_DOWNSTAIRS	29	0.293140441	0.293140441	0.293140441	0.293140441	0.293140441	0.293140441	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	0.293140441	0.293140441	0.293140441	0.293140441	0.293140441	0.293140441	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
WALKING_UPSTAIRS	29	0.265423067	0.265423067	0.265423067	0.265423067	0.265423067	0.265423067	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0.265423067	0.265423067	0.265423067	0.265423067	0.265423067	0.265423067	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
LAYING	30	0.281033901	0.281033901	0.281033901	0.281033901	0.281033901	0.281033901	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	0.281033901	0.281033901	0.281033901	0.281033901	0.281033901	0.281033901	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
SITTING	30	0.268336081	0.268336081	0.268336081	0.268336081	0.268336081	0.268336081	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	0.268336081	0.268336081	0.268336081	0.268336081	0.268336081	0.268336081	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
STANDING	30	0.277112699	0.277112699	0.277112699	0.277112699	0.277112699	0.277112699	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	0.277112699	0.277112699	0.277112699	0.277112699	0.277112699	0.277112699	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
WALKING	30	0.276406758	0.276406758	0.276406758	0.276406758	0.276406758	0.276406758	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.276406758	0.276406758	0.276406758	0.276406758	0.276406758	0.276406758	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
WALKING_DOWNSTAIRS	30	0.283190647	0.283190647	0.283190647	0.283190647	0.283190647	0.283190647	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	0.283190647	0.283190647	0.283190647	0.283190647	0.283190647	0.283190647	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
WALKING_UPSTAIRS	30	0.271415642	0.271415642	0.271415642	0.271415642	0.271415642	0.271415642	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0.271415642	0.271415642	0.271415642	0.271415642	0.271415642	0.271415642	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
